Disponibilité intérieure,Aliments pour animaux,Semences,Pertes,Traitement,Nourriture,Autres utilisations (non alimentaire)
337.0,,1.0,7.0,,174.0,154.0
11.0,,,,,11.0,
46.0,46.0,,,,,
407.0,,,,,327.0,80.0
510.0,5.0,3.0,26.0,477.0,,
3.0,,,,,3.0,
1.0,,,,,1.0,
103.0,,,2.0,,102.0,
23.0,,,,,23.0,
181.0,,,,,181.0,
191.0,,,,,191.0,
372.0,,,,,372.0,
9.0,,,,,9.0,
100.0,,,,,100.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
2.0,,,,,2.0,
7.0,,,,,6.0,1.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
1.0,,,,,,1.0
,,,,,,
,,,,,,
1.0,,,,,,1.0
,,,,,,
10.0,,,,,9.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15.0,,,,,11.0,4.0
6.0,,,,,5.0,1.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
5.0,,,,,2.0,4.0
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,1.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2.0,,,,,2.0,
1.0,,,,,1.0,
,,,,,,
1.0,,,,,,1.0
2.0,,,,,1.0,1.0
,,,,,,
1.0,,,,,,
1.0,,,,,1.0,
,,,,,,
,,,,,,
,,,,,,
3.0,,,,,3.0,
,,,,,,
,,,,,,
,,,,,,
1.0,,,,,1.0,
,,,,,,
2.0,,,,,1.0,1.0
3.0,,,,,1.0,2.0
7.0,,,,,5.0,1.0
,,,,,,
2.0,,,,,1.0,1.0
,,,,,,
122.0,,,13.0,,109.0,
87.0,,,2.0,,84.0,
17.0,,,,,,17.0
29.0,,,,,29.0,
65.0,,,2.0,,63.0,
,,,,,,
17.0,,,,3.0,13.0,
18.0,,,,,18.0,
190.0,,,6.0,,184.0,
113.0,,,,,113.0,
53.0,,,,,53.0,
,,,,,,
2789.0,139.0,15.0,56.0,,2579.0,
,,,,,,
,,,,,,
80.0,,,,,80.0,
2.0,,,,,2.0,
35.0,,,1.0,,34.0,
23.0,,,,,23.0,
40.0,,,,,40.0,
69.0,,,,,69.0,
88.0,2.0,,,,86.0,
998.0,,,11.0,,988.0,
7.0,,,,,6.0,1.0
56.0,,,,,56.0,
413.0,,,57.0,,356.0,
1.0,,,,,1.0,
2.0,,,,,2.0,
82.0,,,,82.0,,
4.0,,,,,4.0,
24.0,,,,,17.0,6.0
8.0,,,,,8.0,
44.0,,,,,44.0,3.0
13.0,,,,,13.0,
1.0,,,,,1.0,
19.0,,,,,19.0,
2.0,,,,,2.0,
3.0,,,,,3.0,
48.0,,,,,48.0,
440.0,,,,,354.0,86.0
6.0,,,,,6.0,
17.0,,,,,17.0,
21.0,,,,,21.0,
77.0,,,,,52.0,25.0
,,,,,,
,,,,,,
2114.0,,,117.0,,2411.0,
2004.0,,,190.0,,1818.0,
164.0,,,4.0,,159.0,
2.0,2.0,,,,,
2201.0,1535.0,1.0,66.0,,599.0,
13.0,,,,,13.0,
15.0,,,1.0,,14.0,
,,,,,,
1.0,,,,,1.0,
79.0,,,,,79.0,
208.0,,39.0,12.0,,155.0,
392.0,,,20.0,,372.0,
17.0,,,,,17.0,
322.0,,,9.0,,313.0,
10317.0,10000.0,,317.0,,,
,,,,,,
28.0,,,1.0,,27.0,
5.0,,,,,5.0,
39.0,,,,,39.0,
2.0,,,,,2.0,
7.0,,,,,,7.0
6.0,,,,,6.0,
10.0,,,,,10.0,
135.0,,,,,135.0,
21.0,,,,,21.0,
225.0,75.0,,,,150.0,
5.0,,,,,5.0,
320.0,,,19.0,,302.0,
752.0,,40.0,42.0,,670.0,
6.0,,,,,6.0,
193.0,,,18.0,,175.0,
1056.0,4.0,,,,1039.0,14.0
,,,,,,
559.0,84.0,,,474.0,1.0,
111.0,,2.0,6.0,,104.0,
